"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 05 06:03:02 GMT 2025","Thu Jun 05 06:03:30 GMT 2025","28381","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"broken","Thu Jun 05 06:05:12 GMT 2025","Thu Jun 05 06:05:40 GMT 2025","28115","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"passed","Thu Jun 05 06:03:33 GMT 2025","Thu Jun 05 06:03:53 GMT 2025","19994","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"skipped","Thu Jun 05 06:03:30 GMT 2025","Thu Jun 05 06:03:30 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"skipped","Thu Jun 05 06:05:41 GMT 2025","Thu Jun 05 06:05:41 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"skipped","Thu Jun 05 06:02:59 GMT 2025","Thu Jun 05 06:02:59 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"passed","Thu Jun 05 05:59:30 GMT 2025","Thu Jun 05 05:59:51 GMT 2025","21244","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"skipped","Thu Jun 05 06:05:41 GMT 2025","Thu Jun 05 06:05:41 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Thu Jun 05 06:00:19 GMT 2025","Thu Jun 05 06:00:37 GMT 2025","17663","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"failed","Thu Jun 05 06:02:09 GMT 2025","Thu Jun 05 06:02:29 GMT 2025","19254","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"broken","Thu Jun 05 06:01:26 GMT 2025","Thu Jun 05 06:01:44 GMT 2025","17649","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"skipped","Thu Jun 05 06:05:10 GMT 2025","Thu Jun 05 06:05:10 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"passed","Thu Jun 05 05:59:03 GMT 2025","Thu Jun 05 05:59:27 GMT 2025","24274","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"passed","Thu Jun 05 06:01:46 GMT 2025","Thu Jun 05 06:02:07 GMT 2025","20815","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"passed","Thu Jun 05 06:03:55 GMT 2025","Thu Jun 05 06:04:17 GMT 2025","21120","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"passed","Thu Jun 05 06:01:01 GMT 2025","Thu Jun 05 06:01:23 GMT 2025","22849","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"passed","Thu Jun 05 06:00:39 GMT 2025","Thu Jun 05 06:00:59 GMT 2025","19362","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Thu Jun 05 05:57:53 GMT 2025","Thu Jun 05 05:58:10 GMT 2025","16381","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"skipped","Thu Jun 05 06:03:30 GMT 2025","Thu Jun 05 06:03:30 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
